latitude,longitude,length_of_encounter_seconds
38.2544444,-104.6086111,300
39.1619444,-84.4569444,900
32.7152778,-117.1563889,30
43.0730556,-89.4011111,20
40.4797222,-84.6283333,60
38.8697222,-106.9872222,60
36.1538889,-95.9925,6
34.1111111,-109.2908333,180
36.7280556,-76.5838889,900
33.8352778,-117.9136111,300
34.2255556,-77.945,600
39.1155556,-77.5638889,300
41.7075,-86.895,900
37.3230556,-122.0311111,180
42.7675,-78.7441667,7200
40.2736111,-76.8847222,240
41.5930556,-81.5269444,180
34.3769444,-82.6958333,600
41.0263889,-73.6288889,240
32.8544444,-79.975,180
37.615223,-122.389979,300
38.7891667,-77.1875,15
41.1669444,-73.2052778,600
45.4077778,-122.5691667,120
31.4636111,-100.4366667,60
41.8525,-72.6441667,5
41.7886111,-89.6961111,600
47.9791667,-122.2008333,30
35.8752778,-110.6197222,7200
42.6525,-73.7566667,10
33.7738889,-117.9405556,7200
25.7738889,-80.1938889,1200
42.7283333,-73.6922222,7200
36.7280556,-108.2180556,300
34.61,-112.315,300
42.0963889,-79.3758333,60
51.316667,-0.266667,300
41.55,-71.4666667,40
41.35,-72.0788889,5
42.468164,-71.014118,2700
37.6086111,-77.3736111,300
35.947474,-86.488367,2700
43.25,-79.833333,4
41.5622222,-72.6511111,1200
41.4819444,-81.7983333,60
39.9625,-76.7280556,15
41.1238889,-100.765,3
39.5297222,-84.0866667,90
41.1669444,-73.2052778,630
37.615223,-122.389979,300
32.7152778,-117.1563889,240
42.5802778,-83.0302778,120
43.0480556,-76.1477778,900
43.0480556,-76.1477778,240
38.8338889,-104.8208333,20
32.9975,-87.63,240
40.7141667,-74.0063889,1800
44.136076,-79.308339,30
32.3122222,-106.7777778,120
37.7305556,-88.9330556,240
37.3394444,-121.8938889,6
33.4483333,-112.0733333,300
46.6022222,-120.5047222,240
30.2669444,-97.7427778,1200
36.3436111,-83.2841667,180
46.8219444,-123.095,600
41.1147222,-74.15,20
33.7397222,-116.4119444,5
40.858433,-74.163755,60
28.0777778,-82.7638889,5
36.864209,-86.710273,600
38.6272222,-90.1977778,10800
45.416667,-75.7,10
40.9780556,-81.7822222,60
45.716667,-67,120
44.4905556,-73.1113889,120
29.9938889,-90.2416667,600
39.7463889,-84.2866667,300
42.7647222,-71.4402778,5
42.9275,-83.63,1200
44.7791667,-93.3361111,60
42.4775,-83.0277778,45
42.3086111,-83.4822222,180
39.1611111,-80.3522222,45
42.7647222,-71.4402778,1
26.9338889,-80.0944444,14400
42.5294444,-83.7802778,300
-23.697479,133.883621,20
44.9133333,-93.5030556,30
38.3708333,-90.5002778,60
41.2455556,-89.9247222,180
41.2455556,-89.9247222,300
35.0844444,-106.6505556,900
39.7763889,-74.8627778,300
33.9533333,-117.3952778,4
40.7141667,-74.0063889,720
38.4191667,-82.4452778,120
36.6336111,-81.7838889,60
64.066667,-21.95,300
37.5422222,-122.515,3600
18.4463889,-66.3880556,120
